"departure_airport","arrival_airport","per_month","people_flown","sum","piople","npa"
"Новосибирск - Tolmachevo Airport (OVB)","Абакан - Abakan Airport (ABA)","07","304","1763200.00","3585","very few"
"Новосибирск - Tolmachevo Airport (OVB)","Абакан - Abakan Airport (ABA)","08","147","852600.00","3585","very few"
"Москва - Domodedovo International Airport (DME)","Абакан - Abakan Airport (ABA)","08","365","16589900.00","3585","very few"
"Москва - Domodedovo International Airport (DME)","Абакан - Abakan Airport (ABA)","07","672","30939500.00","3585","very few"
"Томск - Bogashevo Airport (TOF)","Абакан - Abakan Airport (ABA)","08","153","749700.00","3585","very few"
"Москва - Domodedovo International Airport (DME)","Абакан - Abakan Airport (ABA)","05","242","11280900.00","3585","very few"
"Москва - Domodedovo International Airport (DME)","Абакан - Abakan Airport (ABA)","06","582","26406100.00","3585","very few"
"Новосибирск - Tolmachevo Airport (OVB)","Абакан - Abakan Airport (ABA)","05","124","719200.00","3585","very few"
"Новосибирск - Tolmachevo Airport (OVB)","Абакан - Abakan Airport (ABA)","06","294","1705200.00","3585","very few"
"Томск - Bogashevo Airport (TOF)","Абакан - Abakan Airport (ABA)","05","112","548800.00","3585","very few"
"Томск - Bogashevo Airport (TOF)","Абакан - Abakan Airport (ABA)","06","284","1391600.00","3585","very few"
"Томск - Bogashevo Airport (TOF)","Абакан - Abakan Airport (ABA)","07","306","1499400.00","3585","very few"
"Москва - Sheremetyevo International Airport (SVO)","Анадырь - Ugolny Airport (DYR)","08","92","8050400.00","1062","very few"
"Москва - Sheremetyevo International Airport (SVO)","Анадырь - Ugolny Airport (DYR)","07","225","18264100.00","1062","very few"
"Москва - Sheremetyevo International Airport (SVO)","Анадырь - Ugolny Airport (DYR)","06","180","14859500.00","1062","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Анадырь - Ugolny Airport (DYR)","08","90","3636400.00","1062","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Анадырь - Ugolny Airport (DYR)","07","222","9423200.00","1062","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Анадырь - Ugolny Airport (DYR)","05","6","184200.00","1062","very few"
"Москва - Sheremetyevo International Airport (SVO)","Анадырь - Ugolny Airport (DYR)","05","72","6320400.00","1062","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Анадырь - Ugolny Airport (DYR)","06","175","6627300.00","1062","very few"
"Белгород - Belgorod International Airport (EGO)","Анапа - Anapa Vityazevo Airport (AAQ)","08","1368","10764000.00","18353","few"
"Белгород - Belgorod International Airport (EGO)","Анапа - Anapa Vityazevo Airport (AAQ)","06","2772","21897000.00","18353","few"
"Белгород - Belgorod International Airport (EGO)","Анапа - Anapa Vityazevo Airport (AAQ)","07","2871","22724700.00","18353","few"
"Москва - Sheremetyevo International Airport (SVO)","Анапа - Anapa Vityazevo Airport (AAQ)","05","1368","19942000.00","18353","few"
"Москва - Sheremetyevo International Airport (SVO)","Анапа - Anapa Vityazevo Airport (AAQ)","06","3450","50040000.00","18353","few"
"Москва - Sheremetyevo International Airport (SVO)","Анапа - Anapa Vityazevo Airport (AAQ)","07","3606","52248000.00","18353","few"
"Москва - Sheremetyevo International Airport (SVO)","Анапа - Anapa Vityazevo Airport (AAQ)","08","1607","23306600.00","18353","few"
"Белгород - Belgorod International Airport (EGO)","Анапа - Anapa Vityazevo Airport (AAQ)","05","1311","10327500.00","18353","few"
"Москва - Domodedovo International Airport (DME)","Архангельск - Talagi Airport (ARH)","08","616","6272600.00","9944","very few"
"Пермь - Bolshoye Savino Airport (PEE)","Архангельск - Talagi Airport (ARH)","07","313","3443000.00","9944","very few"
"Пермь - Bolshoye Savino Airport (PEE)","Архангельск - Talagi Airport (ARH)","06","297","3267000.00","9944","very few"
"Пермь - Bolshoye Savino Airport (PEE)","Архангельск - Talagi Airport (ARH)","05","123","1353000.00","9944","very few"
